.model,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA_auto,Test,25.514190413144433,28.959351879470102,25.762983959413646,2.0589137669806186,2.0818255722662933,NA,NA,-0.571627409134554
ARIMA_manual,Test,50.268976032188355,54.18129584255905,50.268976032188355,4.0751946625998965,4.0751946625998965,NA,NA,-0.03963797993780995
SNAIVE,Test,53.64877193118656,58.65155518073105,53.64877193118656,4.384955130968914,4.384955130968914,NA,NA,0.17893777891975388
ETS_AAA,Test,63.66281038969496,68.00593203934284,63.66281038969496,5.164443271872733,5.164443271872733,NA,NA,0.1040585259489626
ETS_AAdA,Test,73.5824100201047,78.06384531969057,73.5824100201047,5.976370928139824,5.976370928139824,NA,NA,0.19974348547213872
ETS_auto,Test,77.32312205319687,80.69952705252528,77.32312205319687,6.299669650985531,6.299669650985531,NA,NA,0.2918428891735651
